user_text,intention_score,age,gender_male,gender_female,gender_non_binary
"Health is failing, and so is everything else.",6,45,0,0,1
"No job, no partner, no reason to keep going.",8,29,0,0,1
Lost my job and can’t provide anymore. I’m done.,9,52,0,1,0
"The days are slow, but I keep going.",4,70,0,0,1
Crippling debt and no support system. Feeling trapped.,7,26,0,1,0
I argued with my mom. Feeling down but it'll pass.,4,18,1,0,0
Stressed about interviews but hopeful.,4,34,0,0,1
I argued with my mom. Feeling down but it'll pass.,3,14,0,0,1
"Caring for my dad is draining, but I’ll manage.",3,55,1,0,0
No one talks to me anymore. I don't think I can survive another week.,9,18,1,0,0
Just tired from school lately.,1,18,1,0,0
"The days are slow, but I keep going.",4,66,0,1,0
Saying goodbye doesn’t scare me. I'm at peace with my choice.,8,66,0,1,0
Wife left and I don't know who I am anymore.,6,60,0,0,1
"It’s tough, but I’ve survived worse.",4,74,0,0,1
Just tired from school lately.,2,16,0,1,0
Everything is falling apart. I’ve thought of how to end it.,10,34,0,0,1
Pain meds are ready. I’ve decided.,8,45,0,1,0
Stressed about interviews but hopeful.,3,20,0,1,0
They keep calling me names at school. I'm done pretending to be okay.,8,16,1,0,0
I argued with my mom. Feeling down but it'll pass.,2,17,1,0,0
"Feeling lonely, but I think it'll get better.",3,25,0,0,1
Lost my job and can’t provide anymore. I’m done.,8,46,0,1,0
"Caring for my dad is draining, but I’ll manage.",3,44,1,0,0
It's like I don’t matter at all in my family.,7,15,0,0,1
Wife left and I don't know who I am anymore.,7,39,1,0,0
Trying to balance everything – it's tough but okay.,3,27,0,1,0
Stressed about interviews but hopeful.,3,31,0,0,1
Wife left and I don't know who I am anymore.,5,49,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",3,16,0,0,1
"Lonely, yes. But I enjoy gardening still.",4,63,0,1,0
It's like I don’t matter at all in my family.,5,15,0,0,1
"The days are slow, but I keep going.",2,68,0,1,0
"Caring for my dad is draining, but I’ll manage.",4,53,0,0,1
Being alone every day hurts more than my body does.,5,79,0,0,1
"Feeling lonely, but I think it'll get better.",3,27,0,1,0
Stressed about interviews but hopeful.,3,28,0,0,1
"It’s tough, but I’ve survived worse.",4,70,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",2,17,1,0,0
Trying to balance everything – it's tough but okay.,2,31,0,1,0
"It’s tough, but I’ve survived worse.",2,72,0,1,0
I miss my wife so much. It’s unbearable some days.,6,76,0,0,1
Breakups suck. I feel empty.,5,25,0,0,1
I argued with my mom. Feeling down but it'll pass.,4,19,0,1,0
Lost my job and can’t provide anymore. I’m done.,8,44,0,0,1
"Lonely, yes. But I enjoy gardening still.",1,77,1,0,0
"Caring for my dad is draining, but I’ll manage.",1,50,0,0,1
"Feeling lonely, but I think it'll get better.",2,27,0,0,1
"Kids are gone, house is quiet. Just figuring out life again.",1,48,0,1,0
"Failed my math test today. Not my best, but I’ll try again.",4,14,0,0,1
Trying to balance everything – it's tough but okay.,2,23,0,1,0
Trying to balance everything – it's tough but okay.,3,32,0,1,0
"Caring for my dad is draining, but I’ll manage.",3,59,0,0,1
"The days are slow, but I keep going.",1,68,1,0,0
No one talks to me anymore. I don't think I can survive another week.,10,18,0,0,1
"Feeling lonely, but I think it'll get better.",3,35,1,0,0
"It’s tough, but I’ve survived worse.",2,70,1,0,0
Crippling debt and no support system. Feeling trapped.,7,32,0,1,0
I wish I could just disappear from all this stress.,7,18,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",3,15,0,0,1
"Lonely, yes. But I enjoy gardening still.",2,65,0,0,1
"Health is failing, and so is everything else.",5,59,1,0,0
"Failed my math test today. Not my best, but I’ll try again.",4,16,0,0,1
"Lonely, yes. But I enjoy gardening still.",2,67,0,1,0
Lost my job and can’t provide anymore. I’m done.,10,44,1,0,0
"Feeling lonely, but I think it'll get better.",2,28,0,0,1
Empty nest and empty life.,6,36,1,0,0
Stressed about interviews but hopeful.,3,25,1,0,0
"It’s tough, but I’ve survived worse.",1,72,0,1,0
Worried about money after the layoff.,2,59,0,1,0
"Caring for my dad is draining, but I’ll manage.",4,45,1,0,0
"Health is failing, and so is everything else.",6,44,0,0,1
Breakups suck. I feel empty.,6,29,0,0,1
"It’s tough, but I’ve survived worse.",2,69,0,0,1
"Feeling lonely, but I think it'll get better.",4,21,0,0,1
Trying to balance everything – it's tough but okay.,4,33,0,0,1
Worried about money after the layoff.,2,49,0,1,0
Just tired from school lately.,1,14,0,1,0
Stressed about interviews but hopeful.,4,28,1,0,0
Stressed about interviews but hopeful.,4,21,1,0,0
Worried about money after the layoff.,3,54,0,0,1
I’ve written a note. I just want the pain to stop.,10,16,1,0,0
I’m alone in a new city and I don’t think I’ll make it.,9,35,0,1,0
Wife left and I don't know who I am anymore.,7,46,1,0,0
"Feeling lonely, but I think it'll get better.",1,26,0,1,0
"Caring for my dad is draining, but I’ll manage.",2,38,1,0,0
Everyone else has friends. Why am I always alone?,7,17,0,1,0
